tau,thr,entry,n_cand,fill_rate,n_fill,win_uncond,win_fill,ev_maker,ev_taker,ev_maker0
60,100,0.97,875,0.0034285714285714284,3,0.9988571428571429,0.6666666666666666,-0.31333333333333335,-0.31333333333333335,-0.30333333333333334
60,100,0.98,875,0.009142857142857144,8,0.9988571428571429,0.875,-0.11499999999999998,-0.11499999999999998,-0.10499999999999998
60,100,0.99,875,0.053714285714285714,47,0.9988571428571429,0.9787234042553191,-0.021276595744680875,-0.021276595744680875,-0.011276595744680873
60,150,0.9,502,0.00199203187250996,1,1.0,1.0,0.08999999999999998,0.08999999999999998,0.09999999999999998
60,150,0.93,502,0.00199203187250996,1,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
60,150,0.95,502,0.00199203187250996,1,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
60,150,0.97,502,0.00199203187250996,1,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
60,150,0.98,502,0.00398406374501992,2,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
60,150,0.99,502,0.03386454183266932,17,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
45,50,0.9,1525,0.0019672131147540984,3,1.0,1.0,0.08999999999999998,0.08999999999999998,0.09999999999999998
45,50,0.93,1525,0.003278688524590164,5,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
45,50,0.95,1525,0.006557377049180328,10,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
45,50,0.97,1525,0.013114754098360656,20,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
45,50,0.98,1525,0.02622950819672131,40,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
45,50,0.99,1525,0.06622950819672131,101,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
45,75,0.9,1135,0.001762114537444934,2,1.0,1.0,0.08999999999999998,0.08999999999999998,0.09999999999999998
45,75,0.93,1135,0.0026431718061674008,3,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
45,75,0.95,1135,0.003524229074889868,4,1.0,1.0,0.04000000000000004,0.04000000000000004,0.050000000000000044
45,75,0.97,1135,0.006167400881057269,7,1.0,1.0,0.020000000000000025,0.020000000000000025,0.030000000000000027
45,75,0.98,1135,0.010572687224669603,12,1.0,1.0,0.010000000000000018,0.010000000000000018,0.020000000000000018
45,75,0.99,1135,0.03700440528634361,42,1.0,1.0,8.673617379884035e-18,8.673617379884035e-18,0.010000000000000009
45,100,0.9,876,0.0,0,1.0,,,,
45,100,0.93,876,0.001141552511415525,1,1.0,1.0,0.05999999999999995,0.05999999999999995,0.06999999999999995
